iter	Logloss
0	0.6757301355
1	0.6592051568
2	0.6437155342
3	0.6302528571
4	0.6191834601
5	0.6068413496
6	0.5965378943
7	0.587888942
8	0.5815297069
9	0.5758887102
10	0.5704323688
11	0.5642940092
12	0.5599248003
13	0.5555980519
14	0.551264995
15	0.5473833954
16	0.5439628651
17	0.5412643595
18	0.5388661886
19	0.5356692156
20	0.5331882107
21	0.5306022876
22	0.5287653083
23	0.5260870893
24	0.524412612
25	0.5224503037
26	0.5207034611
27	0.5188279963
28	0.5167552061
29	0.5151546972
30	0.513686751
31	0.5124888731
32	0.510984827
33	0.5098656984
34	0.5089446158
35	0.5077595096
36	0.5070650906
37	0.5061205702
38	0.5050728838
39	0.5039401464
40	0.5031609109
41	0.5025034035
42	0.5016712571
43	0.5007570438
44	0.4997397048
45	0.4988803338
46	0.4983893251
47	0.4976859308
48	0.4971944012
49	0.4967666567
50	0.4960008227
51	0.4953758387
52	0.4947724608
53	0.494313665
54	0.4938110161
55	0.493509614
56	0.4929264102
57	0.4926489033
58	0.4924771068
59	0.4919666311
60	0.4914579523
61	0.4912778204
62	0.4907679691
63	0.490531785
64	0.4901526441
65	0.4899617019
66	0.4897313502
67	0.4890409914
68	0.4888057518
69	0.4885175288
70	0.4880451922
71	0.4876962556
72	0.4875534865
73	0.4873177082
74	0.4872801816
75	0.4869424032
76	0.4867503828
77	0.486489556
78	0.486167344
79	0.4858025395
80	0.4855183032
81	0.4853768019
82	0.4850470652
83	0.4848898734
84	0.4846321644
85	0.4843617607
86	0.4841984865
87	0.4837748915
88	0.4836138516
89	0.4833638568
90	0.4833377738
91	0.4831308615
92	0.4830884622
93	0.4828308936
94	0.4825557412
95	0.482362196
96	0.4823614964
97	0.4819295856
98	0.4816003281
99	0.4814575722
100	0.4809506575
101	0.4806382842
102	0.480431003
103	0.4802538447
104	0.4800642941
105	0.4800260528
106	0.4797441117
107	0.4796174327
108	0.4795943529
109	0.4793170586
110	0.4791132385
111	0.479039449
112	0.4787910248
113	0.4784816635
114	0.4783925977
115	0.4781079983
116	0.4779303791
117	0.4778275249
118	0.4775403237
119	0.4772931837
120	0.4771003347
121	0.4769681697
122	0.4766734958
123	0.4765482787
124	0.4763900886
125	0.4763032992
126	0.4762783426
127	0.4760496485
128	0.4759014989
129	0.4756567753
130	0.4751710317
131	0.4748697168
132	0.4747217481
133	0.4747205969
134	0.4747134489
135	0.4746279471
136	0.4745556584
137	0.4744427214
138	0.4743618575
139	0.4739826693
140	0.473918497
141	0.4735713437
142	0.4734581781
143	0.4732368975
144	0.4730978389
145	0.4729439996
146	0.4727330699
147	0.4725135585
148	0.4721904599
149	0.4718037789
150	0.4715462421
151	0.4715016707
152	0.4713463417
153	0.4713463409
154	0.4710569009
155	0.4707391919
156	0.4706581459
157	0.470616331
158	0.4702568177
159	0.4700272359
160	0.4700241974
161	0.4697815472
162	0.4695000861
163	0.469373984
164	0.4692495233
165	0.4691396859
166	0.4690741054
167	0.4685585747
168	0.468430644
169	0.4682101358
170	0.4679030288
171	0.4676728474
172	0.4674639541
173	0.4673156149
174	0.4671025768
175	0.4669964662
176	0.4666898006
177	0.4662526262
178	0.4659508991
179	0.4658159595
180	0.4653895369
181	0.4653895369
182	0.4652570343
183	0.4651938055
184	0.4650236303
185	0.4646871406
186	0.4641063953
187	0.4638032129
188	0.4637603584
189	0.4637584115
190	0.4635830196
191	0.4633020517
192	0.4629693718
193	0.4626057007
194	0.4622057995
195	0.4620211914
196	0.4616011041
197	0.4611982729
198	0.4609348275
199	0.4606091329
200	0.4602471108
201	0.4600290906
202	0.4598037506
203	0.4595807908
204	0.4592250093
205	0.4590009894
206	0.4585089462
207	0.4583433214
208	0.4582874424
209	0.4580410793
210	0.4578649447
211	0.4574347123
212	0.4570907161
213	0.456773356
214	0.4565956583
215	0.4564028337
216	0.4562259994
217	0.4558660963
218	0.4555137451
219	0.4554133212
220	0.4551828959
221	0.4548541097
222	0.454729192
223	0.4544941994
224	0.454063651
225	0.4538538804
226	0.4536197743
227	0.453206016
228	0.4528667882
229	0.4525507522
230	0.45223183
231	0.4518449554
232	0.4516060714
233	0.4512806806
234	0.4511256757
235	0.4510213278
236	0.4507511098
237	0.4505387344
238	0.4504478382
239	0.45021054
240	0.4499325686
241	0.4497548259
242	0.449375131
243	0.4489995442
244	0.4488753994
245	0.4485669955
246	0.4483473727
247	0.4480839253
248	0.4477999883
249	0.447652746
250	0.4476512608
251	0.4473618903
252	0.4471006415
253	0.4469382262
254	0.4468617765
255	0.4466443509
256	0.4464336443
257	0.4458085597
258	0.445464095
259	0.4448764758
260	0.4447279102
261	0.4444122565
262	0.4442218734
263	0.4440436801
264	0.443728996
265	0.4436207109
266	0.4433234932
267	0.4430965423
268	0.4427907475
269	0.4427210885
270	0.4425073364
271	0.4423345823
272	0.4421622681
273	0.4419085484
274	0.4416359766
275	0.441537771
276	0.4412416401
277	0.4410211549
278	0.4408501314
279	0.4407204259
280	0.4406019129
281	0.4404738522
282	0.4401243589
283	0.4397824232
284	0.4396163425
285	0.4394185001
286	0.4392728684
287	0.4389785399
288	0.4387554554
289	0.4383987958
290	0.4382247518
291	0.4379756094
292	0.4379393419
293	0.4376398361
294	0.4375042812
295	0.4373717463
296	0.4370767616
297	0.4368540202
298	0.4366309226
299	0.4364865963
