ocid,n_item,descripcion_item,cantidad,unidad_medida,fecha_convocatoria,fecha_buena_pro,fecha_suscripcion,monto_referencial,monto_adjudicado,monto_contratado,monto_adicional,ruc_comprador,nombre_comprador,departamento_comprador,red_candidato,red_metodo,ruc_proveedor,nombre_proveedor,metodo_contratacion,detalles_metodo,causal_cd,es_contratacion_directa,estado_adjudicacion,tiene_adenda,anio_fiscal,_fuente,_codigoconvocatoria,_descripcion_proceso,_departamento_item,_estado_item,_ratio_adicional,_monto_reduccion,_monto_prorroga,_monto_complementario
ocds-dgv273-seacev3-2025-2543-OC4505139188,4505139188,MEDICINAS,,Unidad,2025-07-04,,2025-07-04,1680.0,,1680.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20600566637,CLERYFAM GROUP S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,MEDICINAS,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505154478,4505154478,MEDICINAS,,Unidad,2025-07-22,,2025-07-22,42572.0,,42572.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20613260669,BIOLOGICAL PHARMACEUTICALS S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,MEDICINAS,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505145031,4505145031,MEDICINAS,,Unidad,2025-07-09,,2025-07-09,37165.0,,37165.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20100085225,QUIMICA SUIZA SOCIEDAD ANONIMA CERRADA - QUIMICA SUIZA S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,MEDICINAS,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505120300,4505120300,ADQUISICION DE MEDICAMENTO FUERA DE PETITORIO - COMPRA LOCAL 2025UNIDAD SOLICITANTE: OFICINA DE BIENES ESTRATEGICOS (OBE) RPLSERVICIO          : NEONATOLOGIAPACIENTE          : LUKE KARTHER NOAH JOHNSON PACHECO=============================================,,Unidad,2025-06-17,,2025-06-17,19309.52,,19309.52,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20100085225,QUIMICA SUIZA SOCIEDAD ANONIMA CERRADA - QUIMICA SUIZA S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MEDICAMENTO FUERA DE PETITORIO - COMPRA LOCAL 2025UNIDAD SOLICITANTE: OFICINA DE BIENES ESTRATEGICOS (OBE) RPLSERVICIO          : NEONATOLOGIAPACIENTE          : LUKE KARTHER NOAH JOHNSON PACHECO=============================================,LIMA,Comprometida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505122784,4505122784,ADQUISICION DE MEDICAMENTO FUERA DEL PETITORIO - COMPRA LOCAL 2025UNIDAD SOLICITANTE: OFICINA DE BIENES ESTRATEGICOS (OBE) RPLSERVICIO          : ONCOLOGIA MEDICAPACIENTE          : SAMILLAN PEREZ VARGAS LUIS EXEQUIEL======================================,,Unidad,2025-06-19,,2025-06-19,40682.55,,40682.55,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20609782685,J&J PRODUCTOS MEDICOS & FARMACEUTICOS DEL PERU S.A.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MEDICAMENTO FUERA DEL PETITORIO - COMPRA LOCAL 2025UNIDAD SOLICITANTE: OFICINA DE BIENES ESTRATEGICOS (OBE) RPLSERVICIO          : ONCOLOGIA MEDICAPACIENTE          : SAMILLAN PEREZ VARGAS LUIS EXEQUIEL======================================,LIMA,Comprometida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505150289,4505150289,ADQUISICION DE MATERIAL MEDICO COMPRA DELEGADA.USUARIO: SERVICIO DE UNIDAD DE CUIDADOS INTENSIVOSPARA TODOS LOS ITEMS:MARCA: MANCHESTER MEDICAL // PRESENTACION:  UND // PROCEDENCIA: CHINA//: VIGENCIA: 18 MESES // PLAZO DE ENTREGA PARA TODOS LOS ITEMS: 07*,,Unidad,2025-07-16,,2025-07-16,26237.12,,26237.12,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20605936947,A & F MEDIC SOCIEDAD ANONIMA CERRADA - A & F MEDIC S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MATERIAL MEDICO COMPRA DELEGADA.USUARIO: SERVICIO DE UNIDAD DE CUIDADOS INTENSIVOSPARA TODOS LOS ITEMS:MARCA: MANCHESTER MEDICAL // PRESENTACION:  UND // PROCEDENCIA: CHINA//: VIGENCIA: 18 MESES // PLAZO DE ENTREGA PARA TODOS LOS ITEMS: 07*,LIMA,Comprometida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505138943,4505138943,ADQUISICION DE MEDICAMENTOS DELEGADOS TERCER TRIMESTRE 2025 A COMPRALOCAL UNIDAD SOLICITANTE: OFICINA DE BIENES ESTRATEGICOS (OBE) GLPLA.================================================================010750015: HORMON.d/crec.10UIMARCA: GE,,Unidad,2025-07-03,,2025-07-03,41040.0,,41040.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20536598708,GRUPO EMPRESARIAL MENDOZA FARMACEUTICAS S.A.C.- GEMEFAR S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,ADQUISICION DE MEDICAMENTOS DELEGADOS TERCER TRIMESTRE 2025 A COMPRALOCAL UNIDAD SOLICITANTE: OFICINA DE BIENES ESTRATEGICOS (OBE) GLPLA.================================================================010750015: HORMON.d/crec.10UIMARCA: GE,LIMA,Comprometida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505143397,4505143397,Papel termosensible rollo p/uso ecográfi,,Unidad,2025-07-08,,2025-07-08,9195.0,,9195.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20608696084,IMPORTACIONES GALIMED. E.I.R.L.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,Papel termosensible rollo p/uso ecográfi,LIMA,Comprometida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505138879,4505138879,MATERIAL E INSUMO DE LABORATORIO,,Unidad,2025-07-03,,2025-07-03,37440.0,,37440.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20470358484,DIAGNOSTICO UAL S.A.C.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,MATERIAL E INSUMO DE LABORATORIO,LIMA,Emitida,,,,
ocds-dgv273-seacev3-2025-2543-OC4505135969,4505135969,MEDICINAS,,Unidad,2025-07-01,,2025-07-01,26790.0,,26790.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20603797214,REGEM PERU ENGINEERING SOLUTIONS E.I.R.L.,direct,Contrataciones hasta 8 UIT (No incluye las derivadas de contrataciones por catálogo electrónico),,True,,False,2025,ORDEN_COMPRA,,MEDICINAS,LIMA,Emitida,,,,
